iter	Passed	Remaining
0	155	31000
1	174	17287
2	194	12762
3	213	10466
4	233	9107
5	261	8458
6	277	7663
7	294	7058
8	310	6579
9	327	6224
10	346	5951
11	365	5729
12	383	5520
13	403	5363
14	422	5210
15	442	5088
16	463	4984
17	483	4884
18	502	4783
19	521	4695
20	541	4614
21	567	4589
22	587	4519
23	605	4443
24	624	4371
25	643	4308
26	664	4258
27	684	4203
28	703	4145
29	721	4089
30	738	4027
31	755	3968
32	773	3912
33	790	3859
34	808	3812
35	829	3780
36	850	3746
37	869	3706
38	886	3658
39	903	3614
40	920	3569
41	936	3524
42	954	3484
43	974	3453
44	995	3427
45	1014	3394
46	1031	3359
47	1050	3326
48	1068	3291
49	1085	3255
50	1102	3221
51	1119	3187
52	1136	3153
53	1154	3121
54	1173	3092
55	1191	3064
56	1209	3033
57	1226	3002
58	1243	2972
59	1260	2941
60	1278	2912
61	1296	2884
62	1315	2860
63	1332	2832
64	1350	2805
65	1368	2779
66	1387	2753
67	1405	2727
68	1423	2702
69	1441	2676
70	1458	2649
71	1475	2623
72	1492	2597
73	1510	2571
74	1528	2547
75	1545	2522
76	1563	2497
77	1580	2471
78	1599	2449
79	1616	2424
80	1634	2401
81	1651	2376
82	1668	2352
83	1685	2328
84	1702	2303
85	1719	2279
86	1736	2255
87	1753	2231
88	1769	2207
89	1786	2184
90	1803	2160
91	1820	2137
92	1837	2114
93	1854	2090
94	1870	2067
95	1887	2045
96	1904	2022
97	1921	1999
98	1937	1976
99	1953	1953
100	1971	1932
101	1988	1910
102	2005	1888
103	2022	1867
104	2039	1845
105	2056	1823
106	2073	1802
107	2090	1780
108	2107	1759
109	2124	1738
110	2141	1716
111	2158	1696
112	2175	1674
113	2192	1653
114	2209	1633
115	2226	1612
116	2243	1591
117	2259	1570
118	2276	1549
119	2293	1528
120	2309	1508
121	2327	1487
122	2344	1467
123	2360	1446
124	2377	1426
125	2396	1407
126	2414	1387
127	2431	1367
128	2449	1347
129	2464	1327
130	2481	1307
131	2498	1287
132	2514	1266
133	2530	1246
134	2546	1226
135	2563	1206
136	2579	1186
137	2596	1166
138	2612	1146
139	2629	1126
140	2645	1107
141	2663	1088
142	2681	1068
143	2698	1049
144	2716	1030
145	2734	1011
146	2751	992
147	2769	973
148	2786	953
149	2804	934
150	2822	916
151	2840	896
152	2857	877
153	2874	858
154	2891	839
155	2908	820
156	2925	801
157	2941	781
158	2960	763
159	2978	744
160	2996	725
161	3014	707
162	3034	688
163	3053	670
164	3071	651
165	3090	632
166	3106	613
167	3122	594
168	3138	575
169	3154	556
170	3187	540
171	3215	523
172	3239	505
173	3259	487
174	3278	468
175	3296	449
176	3314	430
177	3331	411
178	3348	392
179	3365	373
180	3382	355
181	3398	336
182	3415	317
183	3431	298
184	3447	279
185	3463	260
186	3480	241
187	3496	223
188	3511	204
189	3528	185
190	3544	167
191	3560	148
192	3576	129
193	3593	111
194	3609	92
195	3626	74
196	3643	55
197	3659	36
198	3675	18
199	3691	0
